replicate_id,total_reads
KYSE180-311Cas9_RepA_p6_batch3,62453493
L33-311Cas9-RepA-p6_batch3,50965392
OV7-311cas9_RepA_p4_batch2,66716328
CORL47-311Cas9_RepB_p5_batch3,76190718
TE-9-311Cas9_RepA_p6_batch3,45487086
TE9_c907R1,43281013
A3/KAW-311cas9_RepA_p6_batch3,23557966
DMS53-311Cas9_RepA_p6_renamed_batch2,33639794
OVCAR8-311Cas9_RepA_p6_batch2,51516132
OVR8_c905R1,31283350
HCC1395-311Cas9_RepA_p3_batch2,75739409
HCC139_c903R1,42742669
NCI-H2882-311Cas9_RepA_p5_batch3,24671462
RMUG-S-311cas9 Rep B p4_batch2,59253275
EKVX-311Cas9_RepA_p6_batch3,34377258
KMRC2-311Cas9-RepA_p6_batch4,27670250
L1236-311cas9_RepA_p4_batch3,38515716
OAW42_c905R1,34324700
Caov-3-311Cas9_RepA_p6_batch2,33172533
JIMT1-P6 RepA Unmodified primers_batch3,70499396
JIMT1_c903R1,37558567
CO680N_c907R1,26357755
KMS-11-311Cas9_RepA_p5_batch2,19156143
KMS11_c907R1,35910177
TT2609C02-311cas9-RepA-p6_batch4,43779527
NCI-H2291-311Cas9 Rep A p4_batch3,42525055
RMGI-311Cas9-RepA-P6_batch4,26810586
RMGI_c905R1,35862008
HMC18-311Cas9_RepA_p6_batch3,48529491
HT-1376-311Cas9_RepA_p6_batch3,51729299
SNUC1_c903R4,50350512
TCCSUP-311Cas9_RepA_p6_batch3,51009655
HCC202-311Cas9_RepA_p5_batch3,33891203
JHH5-311Cas9_RepA_p6_batch2,21939051
PE/CA-PJ41(cloneD2)-311Cas9_RepA_p6_batch3,32585884
PECAPJ49-311cas9_RepA_p6_batch3,47745914
GB1-311Cas9_RepA_p6_batch3,26815420
GB1_c907R1,34727840
SNU601-311Cas9_RepA_p5_batch3,42577589
A253-311Cas9_RepA_p6_batch3,30478631
A253_c908R1,46646512
HEPG2-311cas9_RepA_p6_batch3,48944864
UBLC1-311cas9-RepA-p6_batch4,31901415
GSS-311Cas9_RepA_p6_batch3,42168961
NCIH1703-311Cas9_RepA_p6_batch3,28495896
SJSA-1 -311Cas9_RepA_p6_batch3,32616782
SJSA1_c908R1,21471760
GI-1-311Cas9_RepA_p6_batch3,20278199
GI1_c907R1,37011935
JMSU-1-311Cas9_RepA_p6_batch3,34475759
L428-311cas9-RepA-p4_batch4,36172408
A427-311cas9 Rep A p4_batch3,46649136
LNZ308-311cas9_RepA_p6_batch3,32279938
MKN74-311Cas9_RepA_p5_batch3,28192566
MM1-S-311cas9_RepA_p3_batch3,25010675
SH10TC-311Cas9_RepA_p6_batch3,27348390
WM983B-311Cas9_RepA_p6_batch3,72662693
YD38-311Cas9_RepA_p6_batch3,45147135
MDAMB231-311Cas9_RepA_p5_batch2,44148862
